,Max_depth,N_estimators,Confusion Matrix Split 27
0,3,50,"[4, 1, 2, 2]"
1,3,183,"[4, 1, 2, 2]"
2,3,316,"[4, 1, 2, 2]"
3,3,450,"[4, 1, 2, 2]"
4,4,50,"[4, 1, 3, 1]"
5,4,183,"[4, 1, 2, 2]"
6,4,316,"[3, 2, 2, 2]"
7,4,450,"[3, 2, 2, 2]"
8,5,50,"[4, 1, 3, 1]"
9,5,183,"[3, 2, 2, 2]"
10,5,316,"[3, 2, 2, 2]"
11,5,450,"[3, 2, 2, 2]"
12,6,50,"[4, 1, 3, 1]"
13,6,183,"[3, 2, 2, 2]"
14,6,316,"[3, 2, 2, 2]"
15,6,450,"[3, 2, 2, 2]"
16,7,50,"[4, 1, 3, 1]"
17,7,183,"[3, 2, 2, 2]"
18,7,316,"[3, 2, 2, 2]"
19,7,450,"[3, 2, 2, 2]"
