,Kernel,C,Gamma,Degree,Confusion Matrix Split 98
0,linear,0.1,,,"[3, 2, 3, 1]"
1,rbf,0.1,1,,"[0, 5, 0, 4]"
2,poly,0.1,1,2,"[4, 1, 3, 1]"
3,poly,0.1,1,3,"[4, 1, 2, 2]"
4,rbf,0.1,10.0,,"[0, 5, 0, 4]"
5,poly,0.1,10.0,2,"[4, 1, 3, 1]"
6,poly,0.1,10.0,3,"[4, 1, 2, 2]"
7,linear,1,,,"[3, 2, 3, 1]"
8,rbf,1,1,,"[0, 5, 0, 4]"
9,poly,1,1,2,"[4, 1, 3, 1]"
10,poly,1,1,3,"[4, 1, 2, 2]"
11,rbf,1,10.0,,"[0, 5, 0, 4]"
12,poly,1,10.0,2,"[4, 1, 3, 1]"
13,poly,1,10.0,3,"[4, 1, 2, 2]"
14,linear,10.0,,,"[3, 2, 3, 1]"
15,rbf,10.0,1,,"[0, 5, 0, 4]"
16,poly,10.0,1,2,"[4, 1, 3, 1]"
17,poly,10.0,1,3,"[4, 1, 2, 2]"
18,rbf,10.0,10.0,,"[0, 5, 0, 4]"
19,poly,10.0,10.0,2,"[4, 1, 3, 1]"
20,poly,10.0,10.0,3,"[4, 1, 2, 2]"
21,linear,100.0,,,"[3, 2, 3, 1]"
22,rbf,100.0,1,,"[0, 5, 0, 4]"
23,poly,100.0,1,2,"[4, 1, 3, 1]"
24,poly,100.0,1,3,"[4, 1, 2, 2]"
25,rbf,100.0,10.0,,"[0, 5, 0, 4]"
26,poly,100.0,10.0,2,"[4, 1, 3, 1]"
27,poly,100.0,10.0,3,"[4, 1, 2, 2]"
28,linear,1000.0,,,"[3, 2, 3, 1]"
29,rbf,1000.0,1,,"[0, 5, 0, 4]"
30,poly,1000.0,1,2,"[4, 1, 3, 1]"
31,poly,1000.0,1,3,"[4, 1, 2, 2]"
32,rbf,1000.0,10.0,,"[0, 5, 0, 4]"
33,poly,1000.0,10.0,2,"[4, 1, 3, 1]"
34,poly,1000.0,10.0,3,"[4, 1, 2, 2]"
