,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
19,poly,10.0,10.0,2.0,[26 22 22 26],[29 19 28 20],[28 20 18 30],[29 19 23 25],[32 16 32 16],[26 22 26 22],[29 19 25 23],[29 19 29 19],[26 22 25 23],[24 24 25 23],0.5260416666666666,0.5270760858526816,0.4729166666666667,0.496722656846032,0.02287454040555639
20,poly,10.0,10.0,3.0,[24 24 24 24],[28 20 27 21],[30 18 20 28],[26 22 27 21],[33 15 33 15],[29 19 27 21],[30 18 25 23],[30 18 29 19],[26 22 26 22],[26 22 27 21],0.5177083333333333,0.5197124083441256,0.4479166666666667,0.4794793453854549,0.022405924729030108
21,linear,100.0,,,[26 22 24 24],[27 21 22 26],[26 22 20 28],[26 22 24 24],[33 15 24 24],[26 22 26 22],[32 16 20 28],[30 18 21 27],[27 21 23 25],[30 18 21 27],0.5604166666666667,0.5651896262849083,0.53125,0.5471959464093714,0.025572156443780508
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
23,poly,100.0,1.0,2.0,[26 22 22 26],[29 19 28 20],[28 20 18 30],[29 19 23 25],[32 16 32 16],[26 22 26 22],[29 19 25 23],[29 19 29 19],[26 22 25 23],[24 24 25 23],0.5260416666666666,0.5270760858526816,0.4729166666666667,0.496722656846032,0.02287454040555639
24,poly,100.0,1.0,3.0,[24 24 24 24],[28 20 27 21],[30 18 20 28],[26 22 27 21],[33 15 33 15],[29 19 27 21],[30 18 25 23],[30 18 29 19],[26 22 26 22],[26 22 27 21],0.5177083333333333,0.5197124083441256,0.4479166666666667,0.4794793453854549,0.022405924729030108
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
26,poly,100.0,10.0,2.0,[26 22 22 26],[29 19 28 20],[28 20 18 30],[29 19 23 25],[32 16 32 16],[26 22 26 22],[29 19 25 23],[29 19 29 19],[26 22 25 23],[24 24 25 23],0.5260416666666666,0.5270760858526816,0.4729166666666667,0.496722656846032,0.02287454040555639
27,poly,100.0,10.0,3.0,[24 24 24 24],[28 20 27 21],[30 18 20 28],[26 22 27 21],[33 15 33 15],[29 19 27 21],[30 18 25 23],[30 18 29 19],[26 22 26 22],[26 22 27 21],0.5177083333333333,0.5197124083441256,0.4479166666666667,0.4794793453854549,0.022405924729030108
28,linear,1000.0,,,[26 22 24 24],[27 21 21 27],[26 22 20 28],[26 22 24 24],[33 15 24 24],[26 22 26 22],[32 16 20 28],[30 18 21 27],[27 21 23 25],[30 18 21 27],0.5614583333333334,0.5661204773487383,0.5333333333333333,0.5487091043041084,0.02550606621139855
29,rbf,1000.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
30,poly,1000.0,1.0,2.0,[26 22 22 26],[29 19 28 20],[28 20 18 30],[29 19 23 25],[32 16 32 16],[26 22 26 22],[29 19 25 23],[29 19 29 19],[26 22 25 23],[24 24 25 23],0.5260416666666666,0.5270760858526816,0.4729166666666667,0.496722656846032,0.02287454040555639
31,poly,1000.0,1.0,3.0,[24 24 24 24],[28 20 27 21],[30 18 20 28],[26 22 27 21],[33 15 33 15],[29 19 27 21],[30 18 25 23],[30 18 29 19],[26 22 26 22],[26 22 27 21],0.5177083333333333,0.5197124083441256,0.4479166666666667,0.4794793453854549,0.022405924729030108
32,rbf,1000.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
33,poly,1000.0,10.0,2.0,[26 22 22 26],[29 19 28 20],[28 20 18 30],[29 19 23 25],[32 16 32 16],[26 22 26 22],[29 19 25 23],[29 19 29 19],[26 22 25 23],[24 24 25 23],0.5260416666666666,0.5270760858526816,0.4729166666666667,0.496722656846032,0.02287454040555639
34,poly,1000.0,10.0,3.0,[24 24 24 24],[28 20 27 21],[30 18 20 28],[26 22 27 21],[33 15 33 15],[29 19 27 21],[30 18 25 23],[30 18 29 19],[26 22 26 22],[26 22 27 21],0.5177083333333333,0.5197124083441256,0.4479166666666667,0.4794793453854549,0.022405924729030108
