,N_Estimators,Max_Depth,Confusion Matrix Split 1,Confusion Matrix Split 2,Confusion Matrix Split 3,Confusion Matrix Split 4,Confusion Matrix Split 5,Confusion Matrix Split 6,Confusion Matrix Split 7,Confusion Matrix Split 8,Confusion Matrix Split 9,Confusion Matrix Split 10
0,200,5,"[4, 1, 1, 4]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[4, 1, 1, 4]","[3, 2, 1, 3]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
1,200,7,"[4, 1, 1, 4]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[4, 1, 0, 5]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[2, 2, 1, 4]"
2,200,10,"[4, 1, 1, 4]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[4, 1, 1, 4]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[2, 2, 1, 4]"
3,300,5,"[4, 1, 1, 4]","[3, 2, 4, 1]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[4, 1, 0, 5]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
4,300,7,"[4, 1, 1, 4]","[3, 2, 4, 1]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[4, 1, 0, 5]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
5,300,10,"[4, 1, 1, 4]","[3, 2, 4, 1]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[4, 1, 1, 4]","[3, 2, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
6,400,5,"[4, 1, 1, 4]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[4, 1, 0, 5]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
7,400,7,"[4, 1, 1, 4]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[5, 0, 0, 5]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
8,400,10,"[4, 1, 1, 4]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[5, 0, 0, 5]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
9,500,5,"[4, 1, 1, 4]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[4, 1, 0, 5]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
10,500,7,"[4, 1, 1, 4]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[5, 0, 0, 5]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
11,500,10,"[4, 1, 1, 4]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[4, 1, 1, 4]","[5, 0, 0, 5]","[4, 1, 2, 2]","[4, 1, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
