,Kernel,C,Gamma,Degree,Confusion Matrix Split 15
0,linear,0.1,,,"[3, 2, 2, 3]"
1,rbf,0.1,1,,"[0, 5, 0, 5]"
2,poly,0.1,1,2,"[3, 2, 1, 4]"
3,poly,0.1,1,3,"[3, 2, 2, 3]"
4,rbf,0.1,10.0,,"[0, 5, 0, 5]"
5,poly,0.1,10.0,2,"[3, 2, 1, 4]"
6,poly,0.1,10.0,3,"[3, 2, 2, 3]"
7,linear,1,,,"[3, 2, 1, 4]"
8,rbf,1,1,,"[0, 5, 0, 5]"
9,poly,1,1,2,"[3, 2, 1, 4]"
10,poly,1,1,3,"[3, 2, 2, 3]"
11,rbf,1,10.0,,"[0, 5, 0, 5]"
12,poly,1,10.0,2,"[3, 2, 1, 4]"
13,poly,1,10.0,3,"[3, 2, 2, 3]"
14,linear,10.0,,,"[3, 2, 2, 3]"
15,rbf,10.0,1,,"[0, 5, 0, 5]"
16,poly,10.0,1,2,"[3, 2, 1, 4]"
17,poly,10.0,1,3,"[3, 2, 2, 3]"
18,rbf,10.0,10.0,,"[0, 5, 0, 5]"
19,poly,10.0,10.0,2,"[3, 2, 1, 4]"
20,poly,10.0,10.0,3,"[3, 2, 2, 3]"
21,linear,100.0,,,"[3, 2, 2, 3]"
22,rbf,100.0,1,,"[0, 5, 0, 5]"
23,poly,100.0,1,2,"[3, 2, 1, 4]"
24,poly,100.0,1,3,"[3, 2, 2, 3]"
25,rbf,100.0,10.0,,"[0, 5, 0, 5]"
26,poly,100.0,10.0,2,"[3, 2, 1, 4]"
27,poly,100.0,10.0,3,"[3, 2, 2, 3]"
28,linear,1000.0,,,"[3, 2, 2, 3]"
29,rbf,1000.0,1,,"[0, 5, 0, 5]"
30,poly,1000.0,1,2,"[3, 2, 1, 4]"
31,poly,1000.0,1,3,"[3, 2, 2, 3]"
32,rbf,1000.0,10.0,,"[0, 5, 0, 5]"
33,poly,1000.0,10.0,2,"[3, 2, 1, 4]"
34,poly,1000.0,10.0,3,"[3, 2, 2, 3]"
