,Max_depth,N_estimators,Confusion Matrix Split 18
0,3,50,"[3, 2, 2, 2]"
1,3,183,"[4, 1, 1, 3]"
2,3,316,"[4, 1, 1, 3]"
3,3,450,"[4, 1, 1, 3]"
4,4,50,"[3, 2, 2, 2]"
5,4,183,"[3, 2, 2, 2]"
6,4,316,"[3, 2, 2, 2]"
7,4,450,"[4, 1, 2, 2]"
8,5,50,"[3, 2, 2, 2]"
9,5,183,"[3, 2, 1, 3]"
10,5,316,"[4, 1, 1, 3]"
11,5,450,"[4, 1, 1, 3]"
12,6,50,"[3, 2, 2, 2]"
13,6,183,"[3, 2, 1, 3]"
14,6,316,"[4, 1, 1, 3]"
15,6,450,"[4, 1, 1, 3]"
16,7,50,"[3, 2, 2, 2]"
17,7,183,"[3, 2, 1, 3]"
18,7,316,"[4, 1, 1, 3]"
19,7,450,"[4, 1, 1, 3]"
