,Max_depth,N_estimators,Confusion Matrix Split 93
0,3,50,"[2, 3, 0, 5]"
1,3,183,"[2, 3, 0, 5]"
2,3,316,"[3, 2, 0, 5]"
3,3,450,"[3, 2, 1, 4]"
4,4,50,"[4, 1, 1, 4]"
5,4,183,"[3, 2, 0, 5]"
6,4,316,"[3, 2, 0, 5]"
7,4,450,"[2, 3, 1, 4]"
8,5,50,"[4, 1, 1, 4]"
9,5,183,"[4, 1, 0, 5]"
10,5,316,"[4, 1, 0, 5]"
11,5,450,"[3, 2, 1, 4]"
12,6,50,"[4, 1, 1, 4]"
13,6,183,"[3, 2, 0, 5]"
14,6,316,"[3, 2, 1, 4]"
15,6,450,"[2, 3, 1, 4]"
16,7,50,"[4, 1, 1, 4]"
17,7,183,"[3, 2, 0, 5]"
18,7,316,"[3, 2, 1, 4]"
19,7,450,"[2, 3, 1, 4]"
