,Max_depth,N_estimators,Confusion Matrix Split 63
0,3,50,"[1, 4, 1, 4]"
1,3,183,"[1, 4, 1, 4]"
2,3,316,"[1, 4, 1, 4]"
3,3,450,"[1, 4, 1, 4]"
4,4,50,"[1, 4, 0, 5]"
5,4,183,"[1, 4, 1, 4]"
6,4,316,"[1, 4, 1, 4]"
7,4,450,"[1, 4, 1, 4]"
8,5,50,"[1, 4, 0, 5]"
9,5,183,"[1, 4, 1, 4]"
10,5,316,"[1, 4, 1, 4]"
11,5,450,"[1, 4, 1, 4]"
12,6,50,"[1, 4, 0, 5]"
13,6,183,"[1, 4, 1, 4]"
14,6,316,"[1, 4, 1, 4]"
15,6,450,"[1, 4, 1, 4]"
16,7,50,"[1, 4, 0, 5]"
17,7,183,"[1, 4, 1, 4]"
18,7,316,"[1, 4, 1, 4]"
19,7,450,"[1, 4, 1, 4]"
